WPI,M3SA
51.1203481,3630.072
51.32042586,3671.556
52.02271764,3684.915
52.68620998,3743.88
53.39050834,3792.713
53.76492846,3818.198
54.29072326,3881.464
54.17264554,3961.28
54.16407039,4040.389
54.32735451,4116.396
54.8721025,4196.854
55.52228375,4182.319
57.58971658,4307.013
57.75238526,4375.109
58.68196891,4429.896
59.29579025,4517.243
59.62662537,4522.714
59.43522064,4610.498
60.19737454,4705.842
60.51215496,4756.801
61.16532941,4811.861
62.09079183,4823.627
62.55203982,4881.039
62.41115788,5047.409
63.91119245,4986.029
64.09821521,5040.362
64.39012406,5066.434
65.00654592,5110.077
64.95995501,5171.051
64.74667914,5217.999
65.27168739,5285.359
65.48355991,5285.456
65.22521154,5341.88
65.18998798,5398.129
65.33450865,5452.715
65.24074844,5583.359
66.26835294,5602.092
66.39124621,5636.654
66.73740282,5732.764
67.78186644,5824.068
68.1599528,5910.202
68.03978341,6000.551
68.26286128,6046.743
68.42363811,6133.657
68.64405964,6231.286
68.55635622,6391.45
68.91961273,6452.314
68.76438952,6526.066
70.12552466,6607.705
69.75080325,6709.459
70.09827922,6814.447
70.23695767,6881.005
70.39995124,6947.175
70.5892835,7048.243
71.25403517,7156.498
71.14989244,7274.055
71.42187373,7372.902
72.02959328,7438.968
71.8090996,7550.281
71.75414558,7704.884
73.33983442,7811.487
73.69694961,7948.988
74.57944776,8044.965
75.20051166,8198.773
74.98661473,8297.541
74.78533571,8438.127
75.84762365,8575.157
76.22820934,8648.899
75.90911187,8776.251
75.28909268,8943.797
75.66174876,9047.154
75.59811767,9233.436
76.28628504,9298.225
76.14995951,9401.346
76.44660131,9474.781
76.69491502,9683.597
77.11994659,9845.045
77.17549204,9974.679
78.4649008,10093.48
78.5802719,10169.33
78.04589194,10474.96
77.9608135,10505.81
78.33719957,10677.54
79.81580926,10672.01
81.26846517,10820.32
80.9493267,10922.78
81.46124229,11072.29
81.71184057,11145.22
81.81327667,11306.73
82.16826303,11422.61
84.34042094,11615.87
84.56734023,11773.97
84.66991014,11948.7
84.74698438,12030.77
84.86529953,12159.55
84.94110538,12267.12
85.66135518,12471.02
85.48206239,12666.96
85.78236909,12799.55
85.98156444,12945.56
86.23994027,13100.4
85.88628398,13238.14
86.79745664,13388.73
86.75903489,13558.11
86.4327537,13739.63
86.02941037,13842.65
86.04249788,14058.61
86.43598341,14183.04
86.94707909,14286.95
86.81521994,14947.03
87.86291163,15006.57
88.38328411,15202.67
89.11993828,15356.68
88.91381533,15492.47
89.46814761,15665.54
89.69911309,15860.24
89.31740679,16035.7
89.66295069,16139.94
90.64427327,16278.06
91.61466802,16300.91
92.73283666,16517.55
92.46780797,16726.37
92.55746914,16894.81
92.54626489,17090.35
92.63993584,17295.66
93.2692113,17435.96
94.06173609,17941.07
94.56360611,18162.12
94.44567895,18405.54
95.48730207,18682.52
96.20921094,18954.23
95.99252512,19236.74
96.91143935,19515.32
97.10719626,19598.46
98.79909674,19790.97
99.59130927,19965.33
100.4799304,20286.54
100.599024,20165.57
100.898705,20620.68
101.6732498,20665.53
100.8560191,20901.4
101,21297.57
101.1,21507.65
101.4,21471.34
102.7,22036.38
102.5,22258.4
102.9,22515.08
104,22753.77
104.1,23073.23
104.9,23718.04
105.4,23852.01
105.5,24032.81
104.9,24432.47
105.4,24561.57
105.6,24970.66
105.7,25919.54
107.8,26144.05
108.7,26321.74
109.9,26511.97
110.8,27027.54
111.5,27542.5
112.2,28086.16
112.7,28195.7
112.6,28694.22
112.2,29078.26
112.4,29457.83
112.6,30095.36
112.8,31045.44
114.5,30981.03
114.7,31329.3
114.8,32073.6
115.7,32721.74
116,33021.99
116,33819.14
116.3,34071.39
116.8,34888.18
116.7,35401.55
117.5,36106.65
119,36675.22
121.5,37248.02
123.5,37417.83
124.1,38052.75
127.3,38624.35
128.6,39044.93
128.9,39847.51
128.5,40223.84
128.7,41115.83
126.9,41653.74
124.5,42397.98
124.4,43222.51
123.3,43875.65
123.5,44418.97
125,45213.76
125.9,45856.52
126.8,46225.43
128.2,46794.6
129.6,47165.24
130.3,47844.33
131,48244.67
132.9,48620.97
133.4,48959.35
135.2,49728.14
135.2,50217.77
136.3,50881.71
138.6,51270.38
139.1,51875.65
139.8,52439.05
141,53533.45
141.1,53704.13
142,54210.49
142.9,55763.63
143.8,55978
146,57247.33
148,57355.67
148.1,58001.41
149.5,58930.22
152.1,59857.55
152.4,60321.92
153.1,60886.3
154.2,61963.06
154.9,62679.67
156.2,63290.03
157,63871.81
157.4,64493.99
157.3,66352.24
158.7,66192.72
159.3,66782.69
161,67151.73
163.5,68385.27
163.9,68922.62
164.7,70928.63
165.8,70936.66
167.3,72003.38
168.8,72679.17
168.5,73250.66
168.8,74343.5
168.8,74833.61
170.3,75973.78
170.9,76710.11
170.1,77808.85
171.3,78404.61
171.4,79623.07
173.2,80944.2
175.5,80879.05
179,81859.57
180.7,82359.57
180.7,83460.54
181.5,84093.1
179.6,84806.71
179,84372.53
179.5,86293.92
180.3,87069.04
180.8,87989.57
182,89163.91
183,89744.14
184.6,90189.2
